City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng,Current Description
Cidreira,BR,70.57,62,0,11.86,-30.1811,-50.2056,few clouds
Tiksi,RU,19.24,99,100,2.06,71.6872,128.8694,few clouds
Carnarvon,AU,68.0,73,100,9.22,-24.8667,113.6333,few clouds
Lappeenranta,FI,36.0,48,0,2.3,61.0587,28.1887,few clouds
Nikolskoye,RU,41.0,60,20,6.71,59.7035,30.7861,few clouds
Zbarazh,UA,55.78,88,70,6.26,49.6636,25.7762,few clouds
Klaksvik,FO,37.4,87,20,1.14,62.2266,-6.589,few clouds
Boshnyakovo,RU,31.77,88,100,9.6,49.6333,142.1667,few clouds
Karratha,AU,79.47,59,6,5.41,-20.7377,116.8463,few clouds
Hilo,US,77.0,65,40,3.44,19.7297,-155.09,few clouds
Khatanga,RU,18.16,99,83,2.28,71.9667,102.5,few clouds
Ulaanbaatar,MN,46.4,19,40,26.84,47.9077,106.8832,few clouds
Tiarei,PF,84.2,65,40,8.05,-17.5333,-149.3333,few clouds
Nhulunbuy,AU,75.2,88,40,3.44,-12.2333,136.7667,few clouds
Busselton,AU,55.99,96,14,3.15,-33.65,115.3333,few clouds
Batagay,RU,28.29,86,100,3.62,67.6333,134.6333,few clouds
Punta Arenas,CL,44.6,76,40,8.05,-53.15,-70.9167,few clouds
Jamestown,US,59.0,26,1,13.8,42.097,-79.2353,few clouds
Lusambo,CD,71.44,96,100,2.53,-4.9667,23.45,few clouds
Saint-Pierre,RE,75.2,78,0,5.75,-21.3393,55.4781,few clouds
Ushuaia,AR,44.6,70,20,3.44,-54.8,-68.3,few clouds
Tessalit,ML,94.14,17,18,11.7,20.1986,1.0114,few clouds
Avarua,CK,78.8,78,75,9.22,-21.2078,-159.775,few clouds
Oranjestad,AW,84.2,70,75,14.97,12.524,-70.027,few clouds
Ghanzi,BW,65.32,24,0,8.32,-21.5667,21.7833,few clouds
Broome,US,55.99,35,1,9.22,42.2506,-75.833,few clouds
Hithadhoo,MV,84.38,69,81,5.48,-0.6,73.0833,few clouds
Pevek,RU,9.0,94,100,8.48,69.7008,170.3133,few clouds
Ilulissat,GL,46.4,34,1,10.36,69.2167,-51.1,few clouds
Fort Nelson,CA,48.2,53,75,10.36,58.8053,-122.7002,few clouds
Bambous Virieux,MU,75.0,94,20,4.61,-20.3428,57.7575,few clouds
Puerto Ayora,EC,82.4,65,40,20.71,-0.7393,-90.3518,few clouds
Fukuchiyama,JP,55.0,81,9,1.99,35.3,135.1167,few clouds
